Bu/LPD,50,100,150,200,250,300,350,400,450
0,79.78,160.53,242.19,324.19,408.02,492.07,576.81,662.17,748.11
5.66,83.36,166.39,249.43,332.87,417.05,502.36,589.15,677.79,768.64
10.27,81.82,162.93,243.92,325.38,407.9,492.06,578.44,667.64,760.24
12.86,79.96,159.01,237.9,317.34,398.08,480.85,566.39,655.42,748.69
17.15,77.05,152.08,226.57,302.01,379.88,461.66,548.84,642.88,745.29
24.06,70.44,139.7,209.03,279.7,352.95,430.04,512.22,600.75,696.89
28.5,67.61,133.39,199.25,267.07,338.74,416.16,501.2,595.77,701.76
36.66,61.76,122.41,183.82,247.86,316.38,391.27,474.38,567.59,672.76
49.21,58.06,113.41,170.06,231.99,303.2,387.69,489.46,612.5,760.8
60,54.88,105.67,158.23,218.35,291.87,384.61,502.43,651.11,836.49
